filename,raga,rmse,chroma_stft,spec_cent,spec_bw,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18
Ashwath Narayanan - Angakaram.mp3_chunk10,Suraṭi,0.03072278,0.26037526,2047.8858441958066,2216.176406784026,-295.2505,92.328285,-8.311761,8.177588,-19.116674,8.742423,-22.2977,-6.602369,-8.779418,-6.2042046,-7.8356504,-2.6866603,-10.425024,-1.7861412,-2.9544992,-7.7426786,-7.6103487,2.6182964,-8.046
Ashwath Narayanan - Angakaram.mp3_chunk11,Suraṭi,0.03438987,0.25751168,1927.493843552872,2181.083745698378,-283.81897,100.24926,-8.042015,5.6357913,-20.302296,8.362459,-22.737858,-6.3496094,-11.447738,-5.6050167,-6.5490685,-2.8887553,-11.611878,-1.7247721,-3.9523795,-8.284244,-8.862471,1.9639592,-8.52109
Ashwath Narayanan - Angakaram.mp3_chunk12,Suraṭi,0.030827219,0.26285353,1768.2177815224209,2088.8084824321286,-298.05707,109.34148,-7.2346835,6.8794293,-18.286816,6.897537,-24.621077,-6.150335,-11.325397,-8.229293,-5.9748435,-3.0503492,-12.240841,-1.8115755,-4.575104,-8.464769,-8.970568,1.2601641,-9.093238
Ashwath Narayanan - Angakaram.mp3_chunk13,Suraṭi,0.027098818,0.27232113,1795.4441921527666,2061.5816284901653,-307.7776,107.116585,-10.355957,5.8800077,-21.602783,8.28461,-23.348389,-8.947946,-8.997468,-7.205072,-7.5213723,-3.5144668,-13.023249,-3.0002992,-2.83864,-8.426652,-8.699126,2.8663025,-9.511645
Ashwath Narayanan - Angakaram.mp3_chunk14,Suraṭi,0.024721598,0.25344974,1701.1956515090624,1995.0593136198568,-335.4709,105.09832,-11.494759,9.767684,-18.75369,7.221774,-22.743525,-10.836894,-11.861326,-7.4885445,-6.7436385,-7.7991304,-15.092181,-4.0859776,-4.143931,-7.1198874,-7.3752184,2.43466,-7.65134
Ashwath Narayanan - Angakaram.mp3_chunk15,Suraṭi,0.019124566,0.2571134,1597.1129458134626,1991.5004262179698,-376.75314,105.69964,-4.8834877,15.238871,-7.084314,3.1728375,-22.457464,-9.093529,-16.66224,-7.716567,-5.3566914,-10.24776,-14.480892,-5.333997,-5.9094977,-6.2584944,-6.2606173,-0.2054579,-5.3163586
Ashwath Narayanan - Angakaram.mp3_chunk16,Suraṭi,0.022670588,0.26381248,1827.3462202012197,2149.995909540444,-347.00754,99.28379,-5.578413,12.82992,-6.675341,1.3693322,-27.224417,-8.478682,-12.9854965,-7.4199977,-7.0074964,-5.6236663,-12.684921,-3.3473248,-4.820615,-8.016177,-8.13321,0.82510084,-7.4498158
Ashwath Narayanan - Angakaram.mp3_chunk17,Suraṭi,0.028176187,0.252122,1894.7070488758334,2164.336189538443,-309.9787,99.479744,-11.022755,13.082212,-11.1483555,2.6307766,-30.631163,-8.985187,-8.74926,-10.085809,-7.4403706,-2.2034488,-13.946271,0.0009977972,-3.6502917,-9.181584,-9.410686,2.031578,-9.456411
Ashwath Narayanan - Angakaram.mp3_chunk18,Suraṭi,0.027777167,0.26005155,1897.7518301138034,2137.2990836278254,-303.63525,99.33718,-10.104352,14.213111,-11.696228,3.0430877,-27.820267,-8.112742,-8.649438,-11.546251,-7.434807,-1.9738482,-13.773684,-1.4570365,-3.5852187,-7.9592166,-7.099125,0.56194514,-9.960878
Ashwath Narayanan - Angakaram.mp3_chunk19,Suraṭi,0.023845516,0.27713236,1906.9923061536742,2207.8380909439916,-313.06976,100.59384,-3.5791862,15.849153,-11.453586,6.7439213,-22.602587,-7.573735,-12.356667,-10.189731,-7.568552,-2.8475266,-12.305238,-1.2968999,-6.0371494,-8.097149,-6.2285275,1.5078421,-9.769407
Ashwath Narayanan - Angakaram.mp3_chunk20,Suraṭi,0.022556623,0.27008936,2022.861461302242,2298.875676190706,-311.55713,96.5778,-1.130795,14.790375,-14.7310915,7.277237,-22.965664,-5.2233768,-12.869795,-9.59884,-7.5158176,-0.75882876,-12.276486,-0.10565925,-5.115453,-7.167506,-6.3425226,2.225394,-10.019917
Ashwath Narayanan - Angakaram.mp3_chunk21,Suraṭi,0.026314063,0.2580736,2131.3408550617114,2283.5611329584203,-299.5415,90.82243,-5.570996,10.988691,-21.646685,4.160108,-26.679089,-4.6596093,-10.620596,-11.348551,-9.054835,2.298506,-12.076663,-0.8814444,-3.4605498,-6.7271466,-5.371932,3.4561038,-8.407137
Ashwath Narayanan - Angakaram.mp3_chunk22,Suraṭi,0.027490549,0.27207357,1865.0964115986142,2105.68354605207,-302.4374,105.14484,-7.681651,6.885742,-25.776379,5.0127625,-24.461094,-7.1135917,-11.8465395,-8.576484,-7.7261662,-1.0456716,-11.880632,-2.603181,-3.3986886,-8.450944,-5.102416,4.415053,-7.6494994
Ashwath Narayanan - Angakaram.mp3_chunk23,Suraṭi,0.03117969,0.28366584,1803.046523425626,2084.4251387690715,-286.59302,111.732864,-6.620997,1.6275027,-26.603207,6.7904587,-22.177963,-6.354036,-10.217036,-5.3274207,-5.041767,-2.1734672,-11.7199335,-3.3247237,-2.7146778,-8.403548,-6.354577,3.20481,-10.039582
Ashwath Narayanan - Angakaram.mp3_chunk24,Suraṭi,0.030867107,0.2861495,1887.5718002608032,2151.6070591192824,-287.57947,106.75235,-4.3316402,1.0018111,-22.888355,8.838276,-20.519197,-6.708927,-8.000091,-6.90254,-4.356994,-1.7061625,-12.225523,-3.0676894,-2.6435688,-7.3294816,-5.58813,2.4228108,-9.534182
Ashwath Narayanan - Angakaram.mp3_chunk25,Suraṭi,0.028100519,0.2793564,1879.8631396409962,2133.053368257583,-299.36832,104.524055,-6.1709013,4.0269446,-20.396912,9.786352,-21.757088,-7.6188602,-6.5423794,-8.406746,-5.2394953,-3.1743495,-13.995075,-3.1966035,-2.6526594,-7.080542,-4.6369,2.6572037,-9.787427
Ashwath Narayanan - Angakaram.mp3_chunk26,Suraṭi,0.027936073,0.26055795,1826.5027821329436,2081.1991102864386,-306.5139,105.58156,-9.225443,7.5865088,-20.589571,9.049533,-21.568577,-8.134159,-7.756495,-8.367371,-5.456721,-4.034137,-14.347132,-3.9830546,-2.882104,-6.028314,-7.0146317,2.8676882,-9.830125
Ashwath Narayanan - Angakaram.mp3_chunk27,Suraṭi,0.02401572,0.23884663,1555.709132644719,1966.3633955579853,-349.37317,112.265434,-3.832429,19.48656,-11.360452,5.419364,-18.660078,-7.1923256,-20.100273,-8.984881,-5.139775,-10.336114,-13.210098,-3.9122167,-4.336473,-3.5121965,-7.781255,0.7994682,-5.921789
Ashwath Narayanan - Samajavarada.mp3_chunk1,Śudda sāvēri,0.02665935,0.2796874,1998.013826284386,2213.769834847409,-303.03192,93.91361,-12.749601,4.1477356,-19.319382,-3.2341626,-27.700455,-6.6539726,-10.94749,-5.605375,-3.2918172,-5.196476,-15.972942,-2.051929,-7.96043,-7.5568585,-5.054133,2.657414,-12.492679
Ashwath Narayanan - Samajavarada.mp3_chunk2,Śudda sāvēri,0.03386103,0.30494443,2002.8605757759108,2242.260319462539,-257.4485,102.60276,-8.847188,6.511814,-18.574463,-0.025954492,-30.323221,-4.4710016,-6.9250226,-7.9794846,-3.2140894,0.48894086,-16.68446,0.09742033,-8.654056,-8.6902895,-4.1719637,1.2121639,-13.49968
Ashwath Narayanan - Samajavarada.mp3_chunk3,Śudda sāvēri,0.0359882,0.29200923,1961.401636438998,2189.2855189972506,-256.84366,102.655655,-11.367814,5.9131274,-20.169085,2.8539462,-29.779194,-5.8792887,-6.3667808,-5.5089054,-2.5045407,-2.0777752,-14.704463,0.16265349,-9.414744,-9.223199,-4.0617843,2.4727523,-11.774955
Ashwath Narayanan - Samajavarada.mp3_chunk4,Śudda sāvēri,0.029684339,0.26633078,1919.1631122688516,2155.898966106942,-287.42813,103.09317,-9.778026,4.200198,-19.873226,7.2646546,-25.690493,-8.76927,-7.4300385,-2.3842762,-5.5356708,-6.3249283,-11.521687,-0.91479075,-7.853802,-7.0043006,-4.38236,5.3806434,-11.185844
Ashwath Narayanan - Samajavarada.mp3_chunk5,Śudda sāvēri,0.034620937,0.2791492,1934.1341370142586,2172.9390769915717,-267.39194,105.25062,-8.669955,-4.993082,-23.91004,8.517722,-25.09551,-9.627058,-5.09631,-0.25049818,-8.11718,-4.6999774,-11.682175,-1.0766479,-6.3532224,-8.208646,-4.208264,5.9334154,-12.67109
Ashwath Narayanan - Samajavarada.mp3_chunk6,Śudda sāvēri,0.038925007,0.30215496,1909.5110173747787,2169.513777789181,-248.39409,106.3951,-12.025552,-5.539537,-24.656448,4.283015,-27.475117,-6.810774,-5.2393007,-0.8711582,-7.046264,-2.4849977,-14.028411,-0.99395716,-7.668811,-9.880446,-5.519609,3.2022884,-13.289035
Ashwath Narayanan - Samajavarada.mp3_chunk7,Śudda sāvēri,0.033116817,0.29370296,1836.3266865311207,2140.2012790317463,-273.74057,107.50235,-8.764705,2.0215075,-19.956615,0.8598129,-24.80835,-5.456396,-11.633415,-6.9954643,-6.38174,-2.773232,-14.492469,-1.4873328,-5.732275,-7.7797713,-6.458769,0.2333883,-12.370525
Ashwath Narayanan - Samajavarada.mp3_chunk8,Śudda sāvēri,0.03293427,0.28119388,1758.9466214998936,2107.3492533185445,-282.43005,112.07256,-4.519079,3.6890397,-18.509848,0.65111786,-22.281864,-5.6282387,-17.010672,-11.285011,-7.210466,-2.7644799,-13.320285,-2.1595008,-4.41798,-5.5359697,-6.4325075,-0.6292223,-9.431818
Ashwath Narayanan - Samajavarada.mp3_chunk9,Śudda sāvēri,0.03167461,0.28386778,1743.6862296649888,2095.761442992422,-286.2928,114.92299,-5.3472424,5.1103415,-15.793171,1.1426141,-23.514008,-5.815662,-16.275167,-9.960389,-7.579487,-1.701285,-11.468177,-1.770669,-5.5366907,-3.7473378,-5.946695,0.17943984,-7.493947
Ashwath Narayanan - Samajavarada.mp3_chunk10,Śudda sāvēri,0.033480596,0.30037144,1844.6047265883399,2133.857139319621,-267.66922,111.19357,-9.0557575,3.295064,-19.423683,1.7245196,-26.655588,-7.6906056,-11.43032,-8.639194,-7.005876,-0.7209351,-13.968552,-1.12876,-7.0448933,-5.6975937,-4.8583446,1.4254559,-10.755544
Ashwath Narayanan - Samajavarada.mp3_chunk11,Śudda sāvēri,0.038187273,0.31031713,1844.3362278403324,2146.0761829231024,-255.1355,111.71181,-5.938382,-0.48069212,-22.24496,5.280948,-26.65986,-8.637293,-6.5539784,-7.429507,-5.010315,-0.65143996,-16.195147,-0.99834204,-7.7436204,-8.61385,-4.2571034,2.538094,-11.8780155
Ashwath Narayanan - Samajavarada.mp3_chunk12,Śudda sāvēri,0.03449694,0.3012448,1770.5230565196755,2093.172393741023,-280.15808,112.787674,-5.179501,0.30044046,-19.43147,5.637914,-24.56635,-8.007572,-5.733977,-6.3385224,-3.5799322,-1.745327,-14.119528,-1.9933224,-7.8812985,-8.743461,-3.92978,2.269057,-9.971966
Ashwath Narayanan - Samajavarada.mp3_chunk13,Śudda sāvēri,0.028492216,0.29693958,1770.8973065948715,2068.3694405153706,-296.06573,112.29869,-7.8877406,2.780377,-18.40381,5.181639,-21.056263,-9.507873,-9.000052,-6.4667015,-3.0161567,-2.114301,-11.509702,-3.5700223,-7.290167,-6.5149727,-3.2514176,1.3995426,-9.272746
Ashwath Narayanan - Samajavarada.mp3_chunk14,Śudda sāvēri,0.030398829,0.30106306,1896.5590533307131,2134.307435624581,-277.81723,108.43398,-10.143064,3.309232,-19.300442,6.822458,-20.792917,-10.325996,-10.339816,-6.2423615,-3.5670562,-1.6356213,-12.000058,-2.5194778,-7.1339893,-4.0167303,-2.9288933,1.768896,-9.990452
Ashwath Narayanan - Samajavarada.mp3_chunk15,Śudda sāvēri,0.028115612,0.29801366,1987.8151345863012,2182.7794502702723,-284.56308,102.82753,-13.355103,1.400569,-18.439734,6.0406547,-18.940111,-10.043531,-10.571724,-6.6643696,-4.8408704,-1.1399757,-10.478997,-1.6935264,-6.0343046,-0.95644224,-2.0188475,1.5007627,-8.573867
Ashwath Narayanan - Samajavarada.mp3_chunk16,Śudda sāvēri,0.027557725,0.27526745,1798.878657640531,2045.803843783884,-301.80652,110.37883,-16.07846,2.1497924,-17.347672,3.8040602,-19.790262,-11.363583,-10.257497,-3.461453,-3.0768428,-5.0830073,-10.2259245,-2.167078,-5.2448626,-2.1710198,-4.7243147,3.5246978,-6.6031537
Ashwath Narayanan - Evarura.mp3_chunk1,Mōhanaṁ,0.014634198,0.24297081,1535.365719815213,1861.9401360319894,-415.73163,104.83581,-22.007832,10.963691,-7.334373,-5.8460126,-31.096436,-11.873342,-6.3073354,-5.8719163,-3.9240503,-6.790159,-12.264879,-1.959724,-9.409407,-13.217659,-11.554896,2.2781906,-4.285798
Ashwath Narayanan - Evarura.mp3_chunk2,Mōhanaṁ,0.013320893,0.25248826,1485.1961124320633,1824.5894713494847,-413.9013,112.59764,-21.360634,18.68824,-5.3228903,-2.4242914,-28.784351,-11.557229,-3.3960834,-10.332135,-3.6072156,-7.6105013,-11.042904,-4.4498262,-9.994453,-10.860979,-10.002288,-0.6563582,-8.513378
Ashwath Narayanan - Evarura.mp3_chunk3,Mōhanaṁ,0.011617785,0.24887472,1567.4119417204824,1851.7081583999195,-423.48514,109.74826,-25.918749,18.88006,-4.361756,-2.3518882,-28.421618,-13.085196,-4.839174,-10.005534,-7.026415,-6.7200623,-7.723549,-4.005261,-8.102981,-8.916262,-8.74615,2.0185797,-5.05975
Ashwath Narayanan - Evarura.mp3_chunk4,Mōhanaṁ,0.011998729,0.24803138,1477.0084890108617,1801.3449442314277,-427.21274,115.85443,-24.761208,13.12822,-4.7449703,-2.4160671,-29.652985,-12.156503,-4.2884088,-7.231029,-4.209627,-5.411241,-9.229604,-2.042831,-9.007268,-15.387509,-9.773141,2.9513733,-3.852245
Ashwath Narayanan - Evarura.mp3_chunk5,Mōhanaṁ,0.013015033,0.27002853,1496.6966342823434,1797.014694939147,-407.565,119.75176,-25.833567,10.932853,-12.175785,-2.0138776,-34.361843,-12.210036,-0.21142252,-7.214615,-3.1827998,-5.074187,-12.004703,-1.6937513,-11.238953,-17.709303,-7.7331643,2.2317057,-8.701874
Ashwath Narayanan - Evarura.mp3_chunk6,Mōhanaṁ,0.014654236,0.2648963,1623.9627474885133,1858.7218209502457,-392.57156,109.24963,-29.854816,10.000825,-19.04048,-1.5240711,-35.78703,-13.717819,-1.9190447,-7.120328,-6.3648763,-5.3903203,-12.938619,-3.3712308,-10.119283,-15.434728,-9.046581,3.2811503,-7.3490696
Ashwath Narayanan - Evarura.mp3_chunk7,Mōhanaṁ,0.017228687,0.24531062,1723.485548554677,1922.7239712589658,-388.83755,91.457886,-28.972063,9.181879,-19.872309,-2.609375,-31.360403,-16.221203,-5.1677217,-7.082187,-8.111121,-7.6457,-13.351342,-4.9462633,-6.2525554,-13.378434,-11.078933,3.520951,-7.877715
Ashwath Narayanan - Evarura.mp3_chunk8,Mōhanaṁ,0.019033493,0.23663184,1849.6150126813352,1986.6906774600914,-376.9064,81.83686,-34.582897,7.671985,-19.622866,-4.844312,-30.304247,-16.445911,-7.804358,-6.9876084,-10.179378,-8.6262455,-15.363299,-4.6210938,-4.9066973,-11.024604,-8.386597,6.181986,-10.267748
Ashwath Narayanan - Evarura.mp3_chunk9,Mōhanaṁ,0.016561767,0.2508247,1830.842336823293,1967.1528048793202,-379.56082,89.21624,-34.722027,7.748678,-16.98631,-6.555423,-32.96159,-13.977616,-6.477889,-9.748695,-8.767695,-7.6306357,-14.671851,-2.7030892,-7.0753403,-9.45567,-4.485017,5.49122,-10.403111
Ashwath Narayanan - Evarura.mp3_chunk10,Mōhanaṁ,0.019139092,0.24378985,1821.972528325774,1989.8901403895788,-367.0687,89.4089,-33.080257,-1.1163424,-22.503849,-5.2143493,-30.584816,-14.618542,-6.5419273,-4.2893686,-8.3092,-8.133158,-16.661406,-4.5362225,-9.857577,-12.234075,-6.078084,3.8327122,-11.50604
Ashwath Narayanan - Evarura.mp3_chunk11,Mōhanaṁ,0.020902097,0.2423073,1893.6742238912525,2025.4612421438705,-353.11795,86.01044,-35.34164,-6.199712,-28.1354,-3.8637908,-33.88283,-14.269793,-6.321028,2.1245892,-10.097801,-10.44878,-17.482702,-5.349057,-12.144121,-13.759158,-6.7175264,3.3385656,-9.317941
Ashwath Narayanan - Evarura.mp3_chunk12,Mōhanaṁ,0.016625,0.23871714,2023.5473806606988,2040.037539003929,-371.76227,79.73633,-39.402702,0.67552674,-29.298326,-5.1606226,-39.817207,-13.124783,-5.3181486,-3.1553237,-8.922292,-7.9467154,-13.978857,-1.653611,-8.324374,-11.129189,-5.0461297,3.4114265,-8.30029
Ashwath Narayanan - Evarura.mp3_chunk13,Mōhanaṁ,0.015666638,0.23044886,2074.889835512131,2050.024442246647,-382.68863,72.51118,-40.545193,3.7054765,-25.295012,-5.8493457,-38.429058,-14.336119,-4.682753,-8.892727,-9.823853,-4.1069455,-13.827747,-2.099466,-4.898906,-11.796859,-4.989343,5.3755913,-9.6254
Ashwath Narayanan - Evarura.mp3_chunk14,Mōhanaṁ,0.012962641,0.22755139,2491.1651565168104,2181.89874717504,-399.6527,56.511246,-26.48579,11.4318285,-28.059267,1.7346116,-40.900425,-11.251823,-3.1393573,-12.993218,-10.79123,-5.256806,-15.80893,-4.340447,-3.9579754,-13.462358,-0.83290946,3.7934537,-8.4094925
Ashwath Narayanan - Evarura.mp3_chunk15,Mōhanaṁ,0.015031564,0.21588369,2610.1266327315457,2252.4418947996646,-397.34445,46.543518,-21.900286,5.732463,-35.006065,4.331915,-39.10523,-11.59917,-3.2758577,-11.4051695,-10.447788,-5.7629666,-16.149502,-3.6559515,-2.6536486,-13.030573,0.1611725,4.1697807,-7.6682606
Ashwath Narayanan - Evarura.mp3_chunk16,Mōhanaṁ,0.018963324,0.20967674,2388.14900040484,2264.704245353599,-378.7801,48.644146,-30.018631,-9.760081,-39.18612,4.235478,-34.367092,-14.875478,-5.3510914,-2.0457337,-14.709401,-8.322428,-17.828642,-4.9089923,-5.1851797,-8.3969965,-4.3340745,7.9625583,-9.451468
Ashwath Narayanan - Evarura.mp3_chunk17,Mōhanaṁ,0.018741162,0.2261758,2268.9707753698667,2204.2463481279065,-370.61423,60.590477,-32.326267,-7.397736,-36.8038,5.8941717,-32.427055,-13.103908,-6.0671215,-2.6185217,-15.199361,-9.697493,-18.30179,-6.171126,-7.3445983,-8.626298,-4.670139,5.323283,-9.4973
Ashwath Narayanan - Evarura.mp3_chunk18,Mōhanaṁ,0.018611846,0.25194135,2116.5705158099154,2105.247249718605,-357.7111,77.97786,-34.515316,-6.134131,-34.373604,2.4825745,-32.449314,-11.655056,-5.376943,-7.247146,-14.242554,-5.196277,-15.47039,-3.6804276,-5.948509,-10.611065,-2.5151508,3.0995617,-8.295997
Ashwath Narayanan - Evarura.mp3_chunk19,Mōhanaṁ,0.018705126,0.2682993,2218.053792988905,2176.8525160251133,-341.38943,76.42746,-34.462578,-13.218293,-40.67611,2.2469132,-37.17497,-10.065068,-4.60072,-4.240271,-15.571359,-5.142541,-15.181039,-2.4132423,-7.733325,-11.159619,-0.8594177,4.139668,-8.3836355
Ashwath Narayanan - Evarura.mp3_chunk20,Mōhanaṁ,0.019941228,0.2452721,2241.6691245872034,2171.195979325888,-356.40173,64.2995,-34.57218,-9.928215,-37.779537,1.9849237,-36.546936,-10.587168,-4.455445,-4.5636406,-15.488987,-6.2858224,-14.331959,-5.123304,-8.491099,-11.8853655,-1.9372432,5.936653,-5.004335
Ashwath Narayanan - Evarura.mp3_chunk21,Mōhanaṁ,0.020700142,0.22284342,2385.450493656364,2165.707413597475,-368.13873,53.497375,-36.60779,-3.9204025,-36.435455,0.88108176,-34.290993,-13.193264,-1.907081,-7.799797,-16.540644,-4.513765,-13.699364,-6.872706,-4.867509,-10.949805,-3.27365,8.428052,-3.7515616
Ashwath Narayanan - Evarura.mp3_chunk22,Mōhanaṁ,0.016259184,0.24459606,2406.275203764931,2173.487344611675,-403.85254,55.230892,-26.410576,-1.5023988,-30.321232,1.1824267,-33.907944,-15.925157,-4.7526593,-9.928016,-14.715412,-3.155048,-11.779314,-5.7194796,-2.411448,-8.650957,-2.5427427,4.9907675,-3.6257415
Ashwath Narayanan - Evarura.mp3_chunk23,Mōhanaṁ,0.013532783,0.23589222,2181.2019080782993,2129.2684108517265,-426.55554,61.410557,-22.172821,-1.781355,-20.525158,-0.37761346,-33.15909,-15.586056,-9.282035,-8.221209,-12.224203,-4.131924,-10.2914295,-5.8284454,-4.472468,-8.808666,-3.500469,2.5025735,-0.24124429
Ashwath Narayanan - Evarura.mp3_chunk24,Mōhanaṁ,0.021076718,0.24056649,2188.306904761876,2152.630453001134,-366.28003,62.51744,-36.86883,-11.38186,-30.6448,-1.6918044,-37.99608,-13.2804985,-4.0131607,-6.3530064,-14.760801,-6.4968724,-13.966859,-5.105698,-9.839851,-12.042749,-2.4994557,5.295927,0.2565079
Ashwath Narayanan - Evarura.mp3_chunk25,Mōhanaṁ,0.024959296,0.27324003,2267.6818054066493,2196.642292804374,-328.4615,65.283005,-38.830143,-20.454605,-43.39039,3.5139968,-39.721386,-12.949692,-1.2491884,-4.566499,-16.645899,-7.781103,-17.868696,-3.0850806,-9.248595,-13.439329,-1.1022756,4.617947,-3.347305
Ashwath Narayanan - Evarura.mp3_chunk26,Mōhanaṁ,0.020165104,0.2721294,2230.7851762498453,2167.334448610309,-366.1183,67.44563,-29.157295,-13.508544,-38.394318,6.2328053,-34.823563,-13.293083,-2.0044422,-4.494342,-15.87477,-5.7679176,-14.971335,-3.475611,-5.4221272,-11.745052,-3.2165577,4.1046014,-0.73317283
